E[1] [eV],Im(eps)_nbnd_20,Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80,Im(eps)_nbnd_90,Im(eps)_nbnd_100
13.458640,1.22257000,1.22263200,1.22265000,1.22265600,1.22265900,1.22266200,1.22266300,1.22266300,1.22266400
13.496240,1.29469000,1.29475200,1.29477000,1.29477700,1.29477900,1.29478200,1.29478300,1.29478300,1.29478300
13.533830,1.30815500,1.30821800,1.30823500,1.30824300,1.30824500,1.30824700,1.30824900,1.30824900,1.30824900
13.571430,1.33633300,1.33639600,1.33641400,1.33642000,1.33642400,1.33642600,1.33642700,1.33642700,1.33642800
13.609020,1.40991600,1.40998100,1.40999900,1.41000500,1.41000800,1.41001000,1.41001200,1.41001200,1.41001200
13.646620,1.47413800,1.47420300,1.47422100,1.47422700,1.47423000,1.47423200,1.47423300,1.47423400,1.47423500
13.684210,1.56418500,1.56425000,1.56426800,1.56427400,1.56427700,1.56428000,1.56428000,1.56428100,1.56428100
13.721800,1.70711100,1.70717600,1.70719400,1.70720000,1.70720300,1.70720500,1.70720700,1.70720700,1.70720700
13.759400,1.79202000,1.79208600,1.79210400,1.79211100,1.79211300,1.79211600,1.79211700,1.79211700,1.79211700
13.796990,1.75148000,1.75154600,1.75156500,1.75157200,1.75157400,1.75157600,1.75157700,1.75157700,1.75157800
13.834590,1.64952500,1.64959200,1.64961000,1.64961700,1.64961900,1.64962200,1.64962300,1.64962400,1.64962400
13.872180,1.52857600,1.52864300,1.52866200,1.52866900,1.52867200,1.52867400,1.52867500,1.52867600,1.52867600
13.909770,1.42127100,1.42133900,1.42135700,1.42136400,1.42136600,1.42136900,1.42137000,1.42137100,1.42137200
13.947370,1.37014000,1.37020800,1.37022700,1.37023300,1.37023600,1.37023900,1.37024000,1.37024000,1.37024100
13.984960,1.30815400,1.30822200,1.30824100,1.30824800,1.30825100,1.30825300,1.30825400,1.30825500,1.30825500
14.022560,1.15917700,1.15924600,1.15926400,1.15927100,1.15927400,1.15927600,1.15927800,1.15927800,1.15927900
14.060150,0.99221600,0.99228600,0.99230500,0.99231100,0.99231400,0.99231700,0.99231800,0.99231900,0.99231900
14.097740,0.89051900,0.89058900,0.89060800,0.89061400,0.89061700,0.89062000,0.89062100,0.89062200,0.89062200
14.135340,0.85080500,0.85087500,0.85089400,0.85090100,0.85090400,0.85090700,0.85090800,0.85090800,0.85090900
14.172930,0.80422600,0.80429800,0.80431600,0.80432300,0.80432600,0.80432900,0.80433000,0.80433100,0.80433100
14.210530,0.71807100,0.71814300,0.71816200,0.71816900,0.71817200,0.71817400,0.71817600,0.71817600,0.71817700
14.248120,0.64328700,0.64335900,0.64337900,0.64338500,0.64338800,0.64339100,0.64339200,0.64339300,0.64339300
14.285710,0.61702600,0.61709900,0.61711800,0.61712500,0.61712800,0.61713000,0.61713200,0.61713200,0.61713300
14.323310,0.64083500,0.64090900,0.64092800,0.64093500,0.64093800,0.64094100,0.64094200,0.64094300,0.64094300
14.360900,0.69611600,0.69619100,0.69621000,0.69621700,0.69622000,0.69622200,0.69622400,0.69622400,0.69622500
14.398490,0.75560700,0.75568300,0.75570200,0.75570900,0.75571100,0.75571400,0.75571500,0.75571600,0.75571700
14.436090,0.78646600,0.78654200,0.78656200,0.78656800,0.78657100,0.78657400,0.78657500,0.78657600,0.78657600
14.473680,0.78428800,0.78436400,0.78438300,0.78439000,0.78439300,0.78439600,0.78439700,0.78439700,0.78439800
14.511280,0.81102600,0.81110300,0.81112200,0.81112900,0.81113200,0.81113500,0.81113600,0.81113700,0.81113700
14.548870,0.91938700,0.91946500,0.91948500,0.91949200,0.91949500,0.91949800,0.91949800,0.91949900,0.91950000
14.586460,1.12451200,1.12459000,1.12461000,1.12461700,1.12462000,1.12462200,1.12462400,1.12462400,1.12462400
14.624060,1.37956000,1.37963900,1.37965800,1.37966600,1.37966800,1.37967100,1.37967200,1.37967300,1.37967300
14.661650,1.57241700,1.57249600,1.57251600,1.57252400,1.57252600,1.57252900,1.57253000,1.57253000,1.57253100
14.699250,1.70241300,1.70249300,1.70251300,1.70252000,1.70252300,1.70252500,1.70252700,1.70252700,1.70252800
14.736840,1.85764900,1.85773000,1.85775100,1.85775800,1.85776100,1.85776300,1.85776400,1.85776500,1.85776500
14.774440,1.96094200,1.96102400,1.96104400,1.96105100,1.96105400,1.96105600,1.96105700,1.96105800,1.96105900
14.812030,1.85160100,1.85168300,1.85170300,1.85171100,1.85171400,1.85171600,1.85171700,1.85171800,1.85171900
14.849620,1.61292900,1.61301300,1.61303200,1.61304000,1.61304300,1.61304500,1.61304700,1.61304700,1.61304800
14.887220,1.42292900,1.42301300,1.42303300,1.42304100,1.42304300,1.42304600,1.42304700,1.42304800,1.42304900
14.924810,1.36625100,1.36633600,1.36635600,1.36636400,1.36636700,1.36636900,1.36637000,1.36637100,1.36637200
14.962400,1.41794500,1.41803000,1.41805100,1.41805800,1.41806100,1.41806300,1.41806500,1.41806500,1.41806500
15.000000,1.41948900,1.41957500,1.41959500,1.41960300,1.41960600,1.41960800,1.41960900,1.41961000,1.41961000
15.037590,1.23785900,1.23794600,1.23796600,1.23797400,1.23797600,1.23797900,1.23798000,1.23798100,1.23798100
15.075190,0.97599000,0.97607700,0.97609800,0.97610500,0.97610800,0.97611100,0.97611200,0.97611300,0.97611400
15.112780,0.76907800,0.76916600,0.76918700,0.76919500,0.76919800,0.76920000,0.76920100,0.76920200,0.76920200
15.150370,0.64511100,0.64520000,0.64522100,0.64522900,0.64523100,0.64523400,0.64523500,0.64523600,0.64523600
15.187970,0.59068800,0.59077800,0.59079900,0.59080700,0.59081000,0.59081200,0.59081300,0.59081400,0.59081500
15.225560,0.59368300,0.59377500,0.59379500,0.59380300,0.59380600,0.59380900,0.59381000,0.59381000,0.59381100
15.263160,0.65210300,0.65219600,0.65221700,0.65222400,0.65222700,0.65223000,0.65223100,0.65223200,0.65223200
15.300750,0.76278100,0.76287400,0.76289600,0.76290300,0.76290600,0.76290900,0.76291000,0.76291000,0.76291100
15.338350,0.86877900,0.86887400,0.86889500,0.86890200,0.86890500,0.86890800,0.86890900,0.86891000,0.86891000
15.375940,0.85830400,0.85839900,0.85842000,0.85842800,0.85843100,0.85843300,0.85843400,0.85843500,0.85843500
15.413530,0.74021000,0.74030600,0.74032800,0.74033500,0.74033800,0.74034100,0.74034200,0.74034300,0.74034300
15.451130,0.62502400,0.62512100,0.62514300,0.62515000,0.62515300,0.62515600,0.62515700,0.62515800,0.62515800
15.488720,0.55814500,0.55824300,0.55826500,0.55827200,0.55827500,0.55827800,0.55827900,0.55828000,0.55828000
15.526320,0.52233500,0.52243400,0.52245600,0.52246400,0.52246700,0.52246900,0.52247100,0.52247100,0.52247200
15.563910,0.48773700,0.48783800,0.48785900,0.48786700,0.48787000,0.48787300,0.48787400,0.48787500,0.48787500
15.601500,0.45136000,0.45146200,0.45148400,0.45149100,0.45149400,0.45149700,0.45149800,0.45149900,0.45149900
15.639100,0.42151800,0.42162100,0.42164300,0.42165100,0.42165400,0.42165600,0.42165800,0.42165800,0.42165900
15.676690,0.39150000,0.39160300,0.39162500,0.39163300,0.39163600,0.39163900,0.39164000,0.39164100,0.39164100
15.714280,0.36381800,0.36392300,0.36394500,0.36395300,0.36395600,0.36395800,0.36396000,0.36396000,0.36396100
15.751880,0.34370500,0.34381100,0.34383300,0.34384100,0.34384400,0.34384700,0.34384800,0.34384900,0.34384900
15.789470,0.33315600,0.33326400,0.33328600,0.33329400,0.33329700,0.33330000,0.33330100,0.33330200,0.33330200
15.827070,0.33866300,0.33877200,0.33879400,0.33880200,0.33880500,0.33880800,0.33880900,0.33881000,0.33881100
15.864660,0.36361400,0.36372400,0.36374700,0.36375400,0.36375700,0.36376000,0.36376100,0.36376200,0.36376200
15.902260,0.40928900,0.40940100,0.40942300,0.40943100,0.40943400,0.40943700,0.40943800,0.40943900,0.40943900
15.939850,0.47747200,0.47758500,0.47760800,0.47761600,0.47761900,0.47762100,0.47762300,0.47762400,0.47762400
15.977440,0.55862900,0.55874300,0.55876600,0.55877400,0.55877700,0.55877900,0.55878100,0.55878100,0.55878200
16.015040,0.62355400,0.62367000,0.62369200,0.62370000,0.62370400,0.62370600,0.62370800,0.62370800,0.62370900
16.052630,0.64502700,0.64514400,0.64516800,0.64517600,0.64517900,0.64518100,0.64518300,0.64518300,0.64518400
16.090230,0.63067700,0.63079500,0.63081800,0.63082600,0.63082900,0.63083200,0.63083300,0.63083400,0.63083500
16.127820,0.60772700,0.60784700,0.60787000,0.60787800,0.60788100,0.60788400,0.60788500,0.60788600,0.60788700
16.165410,0.58866300,0.58878500,0.58880900,0.58881700,0.58882000,0.58882300,0.58882400,0.58882400,0.58882500
16.203010,0.59721600,0.59733900,0.59736300,0.59737100,0.59737400,0.59737700,0.59737800,0.59737900,0.59737900
16.240600,0.62304900,0.62317400,0.62319800,0.62320600,0.62320900,0.62321200,0.62321300,0.62321400,0.62321400
16.278190,0.63278100,0.63290700,0.63293100,0.63293900,0.63294200,0.63294500,0.63294600,0.63294700,0.63294800
16.315790,0.64264400,0.64277200,0.64279600,0.64280400,0.64280700,0.64281000,0.64281100,0.64281200,0.64281200
16.353380,0.67321500,0.67334500,0.67336900,0.67337800,0.67338100,0.67338300,0.67338500,0.67338500,0.67338600
16.390980,0.70148000,0.70161200,0.70163600,0.70164500,0.70164800,0.70165100,0.70165200,0.70165300,0.70165300
16.428570,0.69264800,0.69278200,0.69280600,0.69281400,0.69281800,0.69282000,0.69282200,0.69282300,0.69282300
16.466160,0.66694700,0.66708300,0.66710700,0.66711600,0.66711900,0.66712200,0.66712300,0.66712300,0.66712400
16.503760,0.64117300,0.64131200,0.64133600,0.64134400,0.64134700,0.64135000,0.64135100,0.64135200,0.64135300
16.541350,0.60493100,0.60507200,0.60509700,0.60510500,0.60510800,0.60511100,0.60511200,0.60511300,0.60511300
16.578950,0.55401800,0.55416100,0.55418500,0.55419400,0.55419700,0.55420000,0.55420100,0.55420200,0.55420200
16.616540,0.48821500,0.48836100,0.48838500,0.48839400,0.48839700,0.48840000,0.48840100,0.48840200,0.48840200
16.654130,0.41318600,0.41333400,0.41335800,0.41336700,0.41337000,0.41337300,0.41337400,0.41337500,0.41337500
16.691730,0.34240500,0.34255600,0.34258000,0.34258900,0.34259200,0.34259500,0.34259600,0.34259700,0.34259700
16.729320,0.29120100,0.29135400,0.29137900,0.29138700,0.29139000,0.29139300,0.29139500,0.29139500,0.29139600
16.766920,0.26037300,0.26052900,0.26055400,0.26056300,0.26056600,0.26056900,0.26057000,0.26057100,0.26057100
16.804510,0.24408600,0.24424400,0.24427000,0.24427800,0.24428100,0.24428400,0.24428600,0.24428600,0.24428700
16.842100,0.23838200,0.23854300,0.23856900,0.23857700,0.23858100,0.23858300,0.23858500,0.23858500,0.23858600
16.879700,0.24329300,0.24345700,0.24348300,0.24349200,0.24349500,0.24349800,0.24349900,0.24350000,0.24350000
16.917290,0.25405200,0.25422000,0.25424600,0.25425400,0.25425700,0.25426000,0.25426200,0.25426200,0.25426300
16.954890,0.26273300,0.26290400,0.26293000,0.26293900,0.26294200,0.26294500,0.26294600,0.26294700,0.26294700
16.992480,0.27136400,0.27153900,0.27156500,0.27157400,0.27157700,0.27158000,0.27158100,0.27158200,0.27158200
17.030080,0.29166200,0.29184100,0.29186700,0.29187600,0.29187900,0.29188200,0.29188300,0.29188400,0.29188500
17.067670,0.33164400,0.33182600,0.33185200,0.33186100,0.33186400,0.33186700,0.33186800,0.33186900,0.33187000
17.105260,0.39147200,0.39165900,0.39168500,0.39169400,0.39169700,0.39170000,0.39170200,0.39170200,0.39170300
17.142850,0.46416900,0.46436000,0.46438600,0.46439500,0.46439800,0.46440100,0.46440300,0.46440300,0.46440400
17.180450,0.51171800,0.51191400,0.51194100,0.51195000,0.51195300,0.51195600,0.51195700,0.51195800,0.51195800
17.218040,0.49602500,0.49622500,0.49625200,0.49626100,0.49626400,0.49626700,0.49626900,0.49626900,0.49627000
17.255640,0.44524400,0.44545000,0.44547700,0.44548600,0.44548900,0.44549200,0.44549300,0.44549400,0.44549500
17.293230,0.40900500,0.40921600,0.40924300,0.40925200,0.40925500,0.40925800,0.40926000,0.40926000,0.40926100
17.330830,0.40837900,0.40859600,0.40862400,0.40863300,0.40863600,0.40863900,0.40864000,0.40864100,0.40864100
17.368420,0.44300300,0.44322700,0.44325500,0.44326400,0.44326700,0.44327000,0.44327100,0.44327200,0.44327200
17.406010,0.50498300,0.50521300,0.50524100,0.50525000,0.50525300,0.50525600,0.50525800,0.50525800,0.50525900
17.443610,0.58707300,0.58731100,0.58733900,0.58734800,0.58735100,0.58735400,0.58735600,0.58735700,0.58735700
17.481200,0.64093400,0.64118100,0.64120800,0.64121700,0.64122100,0.64122400,0.64122500,0.64122600,0.64122600
17.518800,0.60329900,0.60355500,0.60358300,0.60359200,0.60359500,0.60359800,0.60359900,0.60360000,0.60360100
17.556390,0.50717300,0.50743800,0.50746700,0.50747600,0.50747900,0.50748200,0.50748400,0.50748400,0.50748500
17.593980,0.42237900,0.42265500,0.42268300,0.42269300,0.42269600,0.42269900,0.42270000,0.42270100,0.42270200
17.631580,0.37897800,0.37926700,0.37929500,0.37930500,0.37930800,0.37931100,0.37931200,0.37931300,0.37931300
17.669170,0.37880200,0.37910500,0.37913300,0.37914200,0.37914600,0.37914900,0.37915000,0.37915100,0.37915100
17.706770,0.41763900,0.41795800,0.41798700,0.41799600,0.41800000,0.41800300,0.41800400,0.41800500,0.41800500
17.744360,0.48080400,0.48114100,0.48117000,0.48118000,0.48118300,0.48118600,0.48118700,0.48118800,0.48118900
17.781950,0.53360600,0.53396500,0.53399400,0.53400400,0.53400700,0.53401000,0.53401200,0.53401200,0.53401300
17.819550,0.57102600,0.57141100,0.57144000,0.57145000,0.57145300,0.57145600,0.57145700,0.57145800,0.57145900
17.857140,0.62271900,0.62313500,0.62316500,0.62317400,0.62317800,0.62318000,0.62318200,0.62318300,0.62318300
17.894740,0.68042100,0.68087600,0.68090600,0.68091600,0.68091900,0.68092200,0.68092400,0.68092400,0.68092500
17.932330,0.69669100,0.69719700,0.69722700,0.69723600,0.69724000,0.69724200,0.69724400,0.69724500,0.69724500
17.969920,0.65523000,0.65580000,0.65583000,0.65584000,0.65584300,0.65584600,0.65584800,0.65584800,0.65584900
18.007520,0.58037600,0.58103500,0.58106500,0.58107500,0.58107900,0.58108200,0.58108300,0.58108400,0.58108400
18.045110,0.50450500,0.50528900,0.50532000,0.50532900,0.50533300,0.50533600,0.50533700,0.50533800,0.50533900
18.082710,0.44095100,0.44191800,0.44194900,0.44195800,0.44196200,0.44196500,0.44196600,0.44196700,0.44196800
18.120300,0.38008300,0.38132700,0.38135800,0.38136700,0.38137100,0.38137400,0.38137500,0.38137600,0.38137700
18.157890,0.33142400,0.33308700,0.33311800,0.33312800,0.33313100,0.33313400,0.33313600,0.33313700,0.33313700
18.195490,0.30529600,0.30753700,0.30756800,0.30757800,0.30758100,0.30758400,0.30758600,0.30758700,0.30758700
18.233080,0.28634600,0.28911900,0.28915000,0.28916000,0.28916400,0.28916700,0.28916800,0.28916900,0.28916900
18.270680,0.25395100,0.25675300,0.25678400,0.25679400,0.25679700,0.25680000,0.25680200,0.25680300,0.25680300
18.308270,0.21729300,0.21960900,0.21964100,0.21965100,0.21965400,0.21965700,0.21965900,0.21965900,0.21966000
18.345860,0.19210500,0.19388400,0.19391500,0.19392500,0.19392900,0.19393200,0.19393400,0.19393400,0.19393500
18.383460,0.18192100,0.18332100,0.18335200,0.18336300,0.18336600,0.18336900,0.18337100,0.18337100,0.18337200
18.421050,0.18457000,0.18573700,0.18576900,0.18577900,0.18578200,0.18578500,0.18578700,0.18578800,0.18578800
18.458640,0.19469000,0.19572200,0.19575500,0.19576500,0.19576800,0.19577200,0.19577300,0.19577400,0.19577400
18.496240,0.20603100,0.20699400,0.20702700,0.20703700,0.20704100,0.20704400,0.20704500,0.20704600,0.20704600
18.533830,0.21281800,0.21375500,0.21378800,0.21379800,0.21380200,0.21380500,0.21380600,0.21380700,0.21380800
18.571430,0.21349100,0.21443500,0.21446800,0.21447800,0.21448200,0.21448500,0.21448600,0.21448700,0.21448700
18.609020,0.21084800,0.21182600,0.21185900,0.21187000,0.21187300,0.21187600,0.21187800,0.21187800,0.21187900
18.646610,0.20639500,0.20743500,0.20746800,0.20747900,0.20748200,0.20748500,0.20748700,0.20748700,0.20748800
18.684210,0.20094900,0.20208200,0.20211500,0.20212600,0.20212900,0.20213200,0.20213400,0.20213500,0.20213500
18.721800,0.19815500,0.19941700,0.19945000,0.19946100,0.19946500,0.19946800,0.19946900,0.19947000,0.19947000
18.759400,0.19776100,0.19920200,0.19923600,0.19924600,0.19925000,0.19925300,0.19925400,0.19925500,0.19925600
18.796990,0.19868300,0.20037200,0.20040600,0.20041700,0.20042100,0.20042400,0.20042500,0.20042600,0.20042700
18.834590,0.20916700,0.21120800,0.21124200,0.21125300,0.21125600,0.21126000,0.21126100,0.21126200,0.21126200
18.872180,0.23767400,0.24022500,0.24025900,0.24027000,0.24027400,0.24027700,0.24027800,0.24027900,0.24028000
18.909770,0.27724300,0.28055900,0.28059400,0.28060500,0.28060800,0.28061100,0.28061300,0.28061400,0.28061400
18.947370,0.29877500,0.30326800,0.30330300,0.30331400,0.30331700,0.30332000,0.30332200,0.30332300,0.30332300
18.984960,0.28261500,0.28891200,0.28894800,0.28895900,0.28896200,0.28896500,0.28896700,0.28896800,0.28896800
19.022560,0.25419000,0.26297900,0.26301400,0.26302500,0.26302900,0.26303200,0.26303400,0.26303400,0.26303500
19.060150,0.24345400,0.25452500,0.25456100,0.25457200,0.25457600,0.25457900,0.25458000,0.25458100,0.25458200
19.097740,0.25613200,0.26725800,0.26729400,0.26730500,0.26730900,0.26731200,0.26731300,0.26731400,0.26731500
19.135340,0.27583500,0.28476600,0.28480300,0.28481400,0.28481800,0.28482100,0.28482200,0.28482300,0.28482400
19.172930,0.26988000,0.27639300,0.27643000,0.27644100,0.27644500,0.27644800,0.27644900,0.27645000,0.27645000
19.210530,0.23282400,0.23760900,0.23764600,0.23765700,0.23766100,0.23766400,0.23766600,0.23766700,0.23766700
19.248120,0.19270000,0.19639600,0.19643300,0.19644400,0.19644800,0.19645100,0.19645200,0.19645300,0.19645400
19.285710,0.16735000,0.17038500,0.17042300,0.17043400,0.17043800,0.17044100,0.17044200,0.17044300,0.17044400
19.323310,0.15853800,0.16118800,0.16122600,0.16123700,0.16124100,0.16124400,0.16124500,0.16124600,0.16124700
19.360900,0.16436000,0.16681200,0.16685000,0.16686200,0.16686500,0.16686900,0.16687000,0.16687100,0.16687200
19.398490,0.18140400,0.18380500,0.18384300,0.18385400,0.18385800,0.18386100,0.18386300,0.18386400,0.18386400
19.436090,0.20056200,0.20304300,0.20308100,0.20309300,0.20309700,0.20310000,0.20310100,0.20310200,0.20310300
19.473680,0.21671500,0.21942300,0.21946200,0.21947300,0.21947700,0.21948000,0.21948200,0.21948200,0.21948300
19.511280,0.23567400,0.23879800,0.23883700,0.23884900,0.23885200,0.23885600,0.23885700,0.23885800,0.23885800
19.548870,0.25552100,0.25934100,0.25938100,0.25939200,0.25939600,0.25939900,0.25940100,0.25940200,0.25940200
19.586470,0.26069200,0.26562900,0.26566800,0.26568000,0.26568400,0.26568700,0.26568900,0.26568900,0.26569000
19.624060,0.24972700,0.25633100,0.25637100,0.25638300,0.25638600,0.25639000,0.25639100,0.25639200,0.25639300
19.661650,0.23388300,0.24244500,0.24248500,0.24249700,0.24250100,0.24250400,0.24250600,0.24250700,0.24250700
19.699250,0.21455700,0.22418100,0.22422200,0.22423300,0.22423700,0.22424100,0.22424200,0.22424300,0.22424300
19.736840,0.19899900,0.20800300,0.20804400,0.20805600,0.20806000,0.20806300,0.20806500,0.20806600,0.20806600
19.774440,0.19402000,0.20168900,0.20173000,0.20174200,0.20174600,0.20174900,0.20175100,0.20175200,0.20175200
19.812030,0.19187100,0.19819600,0.19823800,0.19825000,0.19825400,0.19825700,0.19825900,0.19826000,0.19826000
19.849620,0.18626000,0.19146600,0.19150800,0.19152000,0.19152400,0.19152700,0.19152900,0.19152900,0.19153000
19.887220,0.17805300,0.18255000,0.18259200,0.18260400,0.18260800,0.18261200,0.18261300,0.18261400,0.18261400
19.924810,0.16281900,0.16702200,0.16706500,0.16707700,0.16708100,0.16708400,0.16708600,0.16708700,0.16708700
19.962400,0.14605100,0.15033100,0.15037400,0.15038600,0.15039000,0.15039300,0.15039500,0.15039600,0.15039600
20.000000,0.13862700,0.14335800,0.14340100,0.14341400,0.14341800,0.14342100,0.14342300,0.14342300,0.14342400
